,Title,URL,LCCN,Date,Description
441,"WPA paintings, Federal Art Gallery, 50 Beacon St., Boston",https://www.loc.gov/item/98513154/,98513154,1936,"1 print on board (poster) : silkscreen, color. | Poster for exhibition of WPA paintings at the Federal Art Gallery, 50 Beacon St., Boston, Mass."
442,"WPA exhibition A. Arapoff, D. Greason, Elliot, Orr.",https://www.loc.gov/item/98517993/,98517993,1939,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition at the Federal Art Gallery, 77 Newbury Street, Boston, Mass., showing brushes and still life painting of flowers in a pot."
443,Exhibition WPA Connecticut artists.,https://www.loc.gov/item/98517997/,98517997,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of WPA Connecticut artists at the Federal Art Gallery, 77 Newbury Street, Boston, Mass., showing tree stem with leaves."
444,WPA Federal Art Project exhibition - mural studies,https://www.loc.gov/item/98513156/,98513156,1936,"1 print on board (poster) : silkscreen, color. | Poster for WPA Federal Art Project exhibition of mural studies at the Federal Art Gallery 50 Beacon St., Boston, Mass."
445,WPA Federal Art Project general exhibition,https://www.loc.gov/item/98513158/,98513158,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition at the Federal Art Gallery, 50 Beacon St., Boston, Mass."
446,Westfield Athenaeum - Federal Art Project water color show,https://www.loc.gov/item/98513161/,98513161,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of watercolors at the Westfield Athenaeum."
447,Exhibition - WPA Federal Art Project,https://www.loc.gov/item/98513179/,98513179,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA Federal Art Project exhibition at the Federal Art Gallery, 50 Beacon St., Boston, Mass."
448,"WPA water colors, prints exhibition, Federal Art Gallery",https://www.loc.gov/item/98513183/,98513183,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA exhibition of watercolors and prints at the Federal Art Gallery, 50 Beacon St., Boston, Mass."
449,"WPA exhibition water colors [and] prints, Federal Art Gallery /",https://www.loc.gov/item/98518022/,98518022,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA exhibition of watercolors and prints at the Federal Art Gallery, 50 Beacon St., Boston, Mass., showing brush, roller and paper or printing plates."
450,"WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938",https://www.loc.gov/item/92510123/,92510123,1938,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA exhibit at the Federal Art Gallery, 77 Newbury St., Boston, Mass., showing hand, eye, and palette."
451,Federal Art exhibition WPA allocations /,https://www.loc.gov/item/98518023/,98518023,1938,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of WPA art allocations for public buildings, libraries, and schools, at the Federal Art Gallery, 77 Newbury Street, Boston, Mass."
452,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",https://www.loc.gov/item/98513249/,98513249,1939,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA exhibition featuring Dorothy Loeb and Blanche Lazzell at the Federal Art Gallery, 77 Newbury St., Boston, Mass., showing an easel and flowers in a vase."
453,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",https://www.loc.gov/item/98513244/,98513244,1939,"1 print on board (poster) : silkscreen, color. | Poster announcing WPA exhibition featuring Dorothy Loeb and Blanche Lazzell at the Federal Art Gallery, 77 Newbury St., Boston, Mass., showing an easel and flowers in a vase."
454,"WPA exhibition Vernon Smith, Charles Heinz, Charles Kaeselau /",https://www.loc.gov/item/98518026/,98518026,1939,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of watercolor artists at the Federal Art Gallery, 77 Newbury Street, Boston, Mass., showing brushes in a cup of water with a flower and a leaf, and tubes of paint."
455,Exhibit Paint testing and research laboratory : Fogg Art Museum.,https://www.loc.gov/item/98517979/,98517979,1940,"1 print on board (poster) : silkscreen, color. | Poster for Federal Works Agency WPA Massachusetts Art Project exhibit at the Fogg Art Museum, showing paint samples being tested in a laboratory."
456,Federal Art exhibition WPA water colors.,https://www.loc.gov/item/98517981/,98517981,1939,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of WPA watercolors at the Federal Art Gallery, 77 Newbury Street, Boston, Mass., showing a brush in a cup of water, tubes of paint, tray, and painting."
457,"WPA women painters, Federal Art Gallery, 50 Beacon St., Boston",https://www.loc.gov/item/98513191/,98513191,1936,"1 print on board (poster) : silkscreen, color. | Poster for exhibition of WPA women painters at the Federal Art Gallery, 50 Beacon St., Boston, Mass., showing a woman painting outdoors."
458,Index of American Design,https://www.loc.gov/item/98518020/,98518020,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Art Project exhibition of art work from the ""Index of American Design,"" at the Federal Art Gallery, 50 Beacon Street, Boston, Mass., showing a weather vane in the shape of a Native American."
459,"Posters, Federal Art Gallery, 50 Beacon St., Boston",https://www.loc.gov/item/98513188/,98513188,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing exhibition of posters at the Federal Art Gallery, 50 Beacon St., Boston, Mass."
460,National art week,https://www.loc.gov/item/98513130/,98513130,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing National Art Week, Nov. 25 to Dec. 1., showing a red, white, and blue palette."
461,In national defense industries are open for skilled workers Workers - register now for industrial defense : Employers - use Michigan's largest reservoir of workers : The Michigan State Employment Service.,https://www.loc.gov/item/98518028/,98518028,1941,"1 print on board (poster) : silkscreen, color. | Poster announcing employment opportunities for skilled industrial laborers in Michigan."
462,"Detroit Federal Theatre Unit of Michigan Works Progress Administration presents ""It can't happen here"" by Sinclair Lewis",https://www.loc.gov/item/98513193/,98513193,1936,"1 print on board (poster) : silkscreen, color. | Poster for Detroit Federal Theatre Project presentation of ""It Can't Happen Here"" by Sinclair Lewis at the Lafayette Theatre, showing a stylized Adolf Hitler carrying a rifle standing behing a map of the United States and a fist in a raised-arm salute."
